Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Florida,2023,2,18847,16968,214.0,3691.0,593.0,519.0,239.0,929.0,249.0,278.0,322.0,4099.0,1311.0,701.0,485.0
Florida,2023,3,18415,16620,216.0,3759.0,596.0,452.0,243.0,896.0,244.0,288.0,303.0,4035.0,1303.0,437.0,260.0
Florida,2023,4,22146,19985,244.0,4567.0,707.0,584.0,286.0,1103.0,289.0,344.0,421.0,4778.0,1688.0,421.0,259.0
Florida,2023,5,17173,15507,216.0,3687.0,535.0,391.0,205.0,829.0,233.0,264.0,354.0,3697.0,1299.0,272.0,174.0
Florida,2023,6,17191,15583,215.0,3624.0,527.0,462.0,182.0,831.0,205.0,262.0,436.0,3652.0,1303.0,273.0,184.0
Florida,2023,7,21640,19721,270.0,4572.0,681.0,529.0,211.0,1025.0,267.0,320.0,833.0,4607.0,1554.0,358.0,242.0
Florida,2023,8,17155,16028,201.0,3526.0,567.0,467.0,178.0,835.0,198.0,264.0,1100.0,3582.0,1193.0,506.0,344.0
Florida,2023,9,10874,10588,114.0,2370.0,320.0,319.0,94.0,552.0,133.0,175.0,846.0,2317.0,824.0,383.0,254.0
Georgia,2023,1,8237,7516,149.0,1368.0,236.0,364.0,155.0,408.0,198.0,202.0,94.0,1836.0,415.0,446.0,325.0
Georgia,2023,2,7824,7104,147.0,1511.0,223.0,345.0,107.0,354.0,221.0,188.0,101.0,1706.0,389.0,275.0,176.0
Georgia,2023,3,7345,6667,145.0,1384.0,189.0,296.0,107.0,391.0,176.0,140.0,84.0,1704.0,364.0,175.0,108.0
Georgia,2023,4,9095,8248,204.0,1806.0,251.0,398.0,123.0,450.0,246.0,237.0,137.0,1950.0,484.0,148.0,83.0
Georgia,2023,5,6998,6382,142.0,1383.0,189.0,307.0,94.0,351.0,194.0,171.0,118.0,1508.0,379.0,84.0,41.0
Georgia,2023,6,6787,6210,135.0,1403.0,173.0,294.0,83.0,351.0,165.0,162.0,143.0,1452.0,336.0,70.0,12.0
Georgia,2023,7,8294,7644,168.0,1766.0,217.0,385.0,98.0,390.0,163.0,188.0,183.0,1828.0,424.0,82.0,36.0
Georgia,2023,8,6594,6198,131.0,1420.0,180.0,298.0,51.0,317.0,172.0,138.0,166.0,1405.0,386.0,113.0,79.0
Georgia,2023,9,3428,3359,73.0,765.0,70.0,164.0,36.0,167.0,79.0,74.0,65.0,785.0,201.0,102.0,73.0
Hawaii,2023,1,1067,995,0.0,212.0,0.0,40.0,11.0,0.0,0.0,0.0,0.0,239.0,80.0,21.0,0.0
Hawaii,2023,2,1002,920,0.0,212.0,10.0,24.0,0.0,10.0,0.0,0.0,0.0,213.0,75.0,0.0,0.0
Hawaii,2023,3,1095,1025,0.0,227.0,11.0,14.0,0.0,10.0,0.0,0.0,10.0,259.0,83.0,0.0,0.0
Hawaii,2023,4,1198,1112,0.0,245.0,0.0,40.0,12.0,0.0,0.0,11.0,11.0,251.0,87.0,0.0,0.0
Hawaii,2023,5,917,841,0.0,178.0,10.0,51.0,0.0,10.0,0.0,0.0,11.0,197.0,66.0,0.0,0.0
Hawaii,2023,6,955,895,0.0,200.0,0.0,36.0,0.0,0.0,0.0,0.0,44.0,193.0,65.0,0.0,0.0
Hawaii,2023,7,1135,1073,0.0,229.0,0.0,50.0,0.0,0.0,0.0,0.0,65.0,250.0,79.0,0.0,0.0
Hawaii,2023,8,979,885,0.0,174.0,21.0,15.0,0.0,0.0,0.0,0.0,101.0,180.0,81.0,11.0,0.0
Hawaii,2023,9,578,566,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,99.0,35.0,0.0,0.0
Idaho,2023,1,1317,1194,0.0,248.0,21.0,54.0,21.0,80.0,0.0,0.0,0.0,267.0,61.0,32.0,0.0
Idaho,2023,2,1243,1127,0.0,247.0,33.0,49.0,0.0,70.0,0.0,0.0,0.0,273.0,44.0,0.0,0.0
Idaho,2023,3,1295,1166,0.0,241.0,32.0,61.0,0.0,70.0,0.0,0.0,0.0,272.0,69.0,35.0,22.0
Idaho,2023,4,1581,1403,0.0,314.0,0.0,65.0,0.0,91.0,0.0,0.0,0.0,329.0,87.0,0.0,0.0
Idaho,2023,5,1266,1141,0.0,277.0,22.0,76.0,0.0,69.0,0.0,0.0,0.0,241.0,68.0,0.0,0.0
Idaho,2023,6,1236,1104,0.0,250.0,23.0,39.0,0.0,62.0,0.0,0.0,0.0,254.0,46.0,0.0,0.0
