Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
Florida,2023,1,88.18,80.05,1.04,16.759999999999998,2.77,2.29,1.69,4.49,1.07,1.42,1.49,19.509999999999998,6.11,3.98,2.7800000000000002,90442904
Florida,2023,2,83.35,75.03999999999999,0.9400000000000001,16.32,2.62,2.3,1.05,4.11,1.09,1.23,1.42,18.13,5.79,3.11,2.14,90442904
Florida,2023,3,81.44,73.5,0.9500000000000001,16.63,2.64,1.99,1.07,3.9699999999999998,1.08,1.27,1.34,17.84,5.77,1.93,1.15,90442904
Florida,2023,4,97.94,88.39,1.08,20.21,3.12,2.58,1.26,4.87,1.28,1.52,1.8599999999999999,21.13,7.47,1.85,1.15,113053630
Florida,2023,5,75.95,68.58,0.9500000000000001,16.310000000000002,2.36,1.72,0.9,3.67,1.03,1.17,1.57,16.35,5.75,1.2,0.77,90442904
Florida,2023,6,76.03,68.92,0.96,16.02,2.33,2.04,0.8,3.6799999999999997,0.91,1.16,1.92,16.15,5.76,1.21,0.8200000000000001,90442904
Florida,2023,7,95.7,87.23,1.2,20.22,3.0100000000000002,2.33,0.93,4.53,1.18,1.4100000000000001,3.69,20.369999999999997,6.87,1.58,1.06,113053630
Florida,2023,8,75.88,70.88,0.89,15.6,2.52,2.0700000000000003,0.79,3.69,0.88,1.18,4.86,15.84,5.28,2.23,1.52,90442904
Florida,2023,9,48.09,46.83,0.5,10.48,1.41,1.42,0.42,2.44,0.5800000000000001,0.77,3.74,10.25,3.6500000000000004,1.7,1.12,67832178
Georgia,2023,1,74.68,68.14,1.36,12.39,2.15,3.3,1.41,3.7,1.79,1.8399999999999999,0.86,16.64,3.77,4.04,2.94,44116908
Georgia,2023,2,70.94,64.42,1.33,13.7,2.02,3.13,0.98,3.2199999999999998,2.0,1.7,0.8999999999999999,15.469999999999999,3.52,2.49,1.5899999999999999,44116908
Georgia,2023,3,66.6,60.45,1.32,12.55,1.72,2.68,0.96,3.55,1.6,1.26,0.76,15.44,3.31,1.58,0.98,44116908
